nr	length	ratio
1	28	0.58333333
2	84	0.92307692
3	151	1.17054264
4	243	1.37288136
5	287	1.39320388
6	354	1.48739496
7	418	1.56554307
8	586	1.69855072
9	696	1.71428571
10	723	1.72553699
11	837	1.76955603
12	877	1.77171717
13	967	1.80074488
14	1030	1.83600713
15	1109	1.83003300
16	1236	1.86989410
17	1290	1.87500000
18	1367	1.87774725
19	1402	1.87433155
20	1469	1.88333333
21	1506	1.88014981
22	1607	1.88615023
23	1778	1.88947928
24	1831	1.90134995
25	1877	1.91530612
26	2041	1.93643264
27	2112	1.94475138
28	2174	1.95855856
29	2324	1.97116200
30	2471	1.99435028
31	2517	1.98815166
32	2593	2.00231660
33	2686	2.01651652
34	2830	2.01566952
35	3071	2.01509186
36	3188	2.04097311
37	3252	2.05173502
38	3364	2.04374241
39	3430	2.04776119
40	3530	2.04519119
41	3689	2.06550952
42	3803	2.06797172
43	3897	2.06847134
44	4188	2.07738095
45	4301	2.09294404
46	4427	2.09711037
47	4520	2.10037175
48	4542	2.09889094
49	4598	2.10434783
50	4707	2.10792656
51	4774	2.10865724
52	4916	2.12170911
53	5150	2.13250518
54	5259	2.14477977
55	5297	2.14453441
56	5467	2.14728987
57	5566	2.15235886
58	5732	2.15165165
59	5755	2.15140187
60	5816	2.15487217
61	5893	2.15623857
62	5908	2.15620438
63	5980	2.15728716
64	6064	2.15570565
65	6139	2.15177007
66	6273	2.14828767
67	6420	2.15075377
68	6458	2.15123251
69	6556	2.14458620
70	6789	2.13490566
71	6883	2.13030022
72	6967	2.12732824
73	7073	2.13685801
74	7151	2.13590203
75	7264	2.13270699
76	7376	2.13735149
77	7647	2.13484087
78	7847	2.14516129
79	7966	2.15180983
80	8086	2.15339547
81	8443	2.16542703
82	8788	2.16934090
83	8983	2.16928278
84	9163	2.17338710
85	9213	2.17647059
86	9349	2.17823858
87	9421	2.17977788
88	9533	2.18396334
89	9652	2.18420457
90	9833	2.19144194
91	9860	2.19208537
92	9887	2.19272566
93	9927	2.19478222
94	9998	2.19832894
95	10039	2.19623715
96	10121	2.19639757
97	10204	2.19677072
98	10262	2.19695997
99	10411	2.19780452
100	10511	2.19436326
101	10551	2.19355509
102	10611	2.19734935
103	10642	2.19966928
104	10680	2.19934102
105	10800	2.20273302
106	10841	2.20211253
107	10965	2.20579360
108	11069	2.20849960
109	11149	2.21078723
110	11245	2.21532703
111	11339	2.21421597
112	11558	2.21842610
113	11678	2.22057425
114	11819	2.21869720
115	11910	2.21994408
116	11984	2.22049287
117	12171	2.22708143
118	12195	2.22658390
119	12219	2.22527773
120	12314	2.22434971
121	12419	2.22482981
122	12563	2.22275301
123	12655	2.22485935
124	12688	2.22479397
125	12803	2.22506083
126	12888	2.22437004
127	13008	2.22854206
128	13196	2.23244798
129	13321	2.24070648
130	13423	2.24015354
131	13564	2.24198347
132	13733	2.23956295
133	13854	2.24211037
134	13918	2.24592545
135	13998	2.24867470
136	14100	2.25600000
137	14174	2.26024557
138	14256	2.25891301
139	14304	2.25650734
140	14332	2.25665250
141	14514	2.25898833
142	14663	2.26036689
143	14720	2.25801503
144	14852	2.26333435
145	14946	2.26420239
146	14991	2.26450151
147	15007	2.26315789
148	15119	2.26264591
149	15227	2.26356474
150	15315	2.26519746
151	15429	2.26730345
152	15601	2.27221089
153	15748	2.27440786
154	15858	2.28107020
155	15980	2.28808706
156	16066	2.29350464
157	16090	2.29496505
158	16158	2.29614893
159	16220	2.29745042
160	16391	2.29920045
161	16532	2.30282769
162	16578	2.30506118
163	16688	2.30847973
164	16871	2.31363138
165	16957	2.31621363
166	16999	2.31657127
167	17054	2.31649008
168	17195	2.31769780
169	17292	2.32076231
170	17361	2.32129964
171	17488	2.32429559
172	17681	2.32400105
173	17739	2.32642623
174	17839	2.32854719
175	17943	2.32844537
176	18040	2.32804233
177	18145	2.32538767
178	18168	2.32505759
179	18179	2.32497762
180	18251	2.32615345
181	18433	2.32945785
182	18524	2.33094249
183	18717	2.33001369
184	18822	2.33292018
185	18931	2.33312793
186	19145	2.33390223
187	19246	2.33171795
188	19329	2.33132312
189	19486	2.33281456
190	19629	2.33706394
191	19909	2.34195977
192	19953	2.34162657
193	20056	2.34025671
194	20256	2.33875996
195	20376	2.33911147
196	20489	2.34133242
197	20607	2.34383530
198	20764	2.34303769
199	20783	2.34253832
200	20922	2.34367649
201	20952	2.34441088
202	21080	2.34456679
203	21156	2.34675541
204	21266	2.34620477
205	21329	2.34487687
206	21361	2.34581595
207	21442	2.34492563
208	21538	2.34516551
209	21575	2.34459900
210	21625	2.34569910
211	21694	2.34758143
212	21772	2.34890495
213	21904	2.34996245
214	22032	2.35284067
215	22115	2.35316025
216	22148	2.35416667
217	22281	2.35354389
218	22351	2.35248921
219	22433	2.35541789
220	22494	2.35489950
221	22592	2.35578728
222	22651	2.35628836
223	22721	2.35695021
224	22759	2.35746841
225	22920	2.35753960
226	23052	2.35826087
227	23184	2.36282104
228	23231	2.36279496
229	23315	2.36364558
230	23430	2.36427851
231	23477	2.36496424
232	23567	2.36663989
233	23623	2.36679691
234	23733	2.36856287
235	23851	2.37158198
236	23952	2.37125037
237	24050	2.36805829
238	24176	2.36694733
239	24293	2.37097404
240	24455	2.37404136
241	24562	2.37336941
242	24639	2.37484337
243	24719	2.37477183
244	24822	2.37667560
245	24870	2.37649307
246	25059	2.37841686
247	25138	2.38004166
248	25188	2.38094338
249	25340	2.38449233
250	25465	2.38548009
251	25628	2.38577546
252	25677	2.38633829
253	25798	2.38671477
254	25840	2.38618524
255	25992	2.38831205
256	26075	2.38847669
257	26157	2.38920351
258	26345	2.39043644
259	26462	2.39540147
260	26557	2.39835636
261	26722	2.40176164
262	26852	2.40393912
263	26921	2.40537884
264	26997	2.40700785
265	27198	2.40583812
266	27341	2.41038526
267	27503	2.41127477
268	27630	2.41078440
269	27773	2.41043222
270	27856	2.41010555
271	27949	2.41064344
272	28167	2.41217779
273	28433	2.41777211
274	28660	2.42244950
275	28730	2.42324561
276	28930	2.43068392
277	29016	2.43178009
278	29099	2.43404433
279	29175	2.43368368
280	29334	2.43799867
281	29416	2.44116183
282	29510	2.44126406
283	29590	2.44242674
284	29690	2.44362140
285	29743	2.44396056
286	29927	2.44441722
287	30126	2.44568924
288	30201	2.44661374
289	30313	2.44341448
290	30389	2.44343491
291	30575	2.44717464
292	30598	2.44705694
293	30762	2.44550441
